steps,iteration,phase,mean_reward,vf_loss,entropy,kl
65536,1,0,-122.76,18.3047,41.1251,0.0040
131072,2,0,-111.34,22.9614,41.0935,0.0044
196608,3,0,-108.27,24.8181,41.0547,0.0043
262144,4,0,-106.99,29.8534,41.0105,0.0050
327680,5,0,-101.92,34.3020,40.9721,0.0056
393216,6,0,-92.76,37.8548,40.9316,0.0064
458752,7,0,-94.72,39.4723,40.8986,0.0070
524288,8,0,-83.98,42.8465,40.8695,0.0069
589824,9,0,-69.82,42.3854,40.8356,0.0075
655360,10,0,-72.27,46.3525,40.8023,0.0083
720896,11,0,-52.41,47.1090,40.7742,0.0086
786432,12,0,-54.35,43.4340,40.7407,0.0090
851968,13,0,-41.31,40.0431,40.7074,0.0093
917504,14,0,-33.48,36.8648,40.6676,0.0098
983040,15,0,-25.85,31.9920,40.6264,0.0090
1048576,16,0,-23.10,26.9647,40.5811,0.0106
1114112,17,0,-17.29,22.4724,40.5270,0.0114
1179648,18,0,-10.01,17.2019,40.4612,0.0112
1245184,19,0,-9.05,13.2919,40.3941,0.0112
1310720,20,0,-6.04,10.8073,40.3067,0.0111
1376256,21,0,-3.27,8.5270,40.2190,0.0119
1441792,22,0,-2.86,7.2852,40.1191,0.0116
1507328,23,0,1.27,5.6441,40.0021,0.0121
1572864,24,0,1.42,4.8759,39.8756,0.0111
1638400,25,0,2.33,4.5531,39.7454,0.0115
1703936,26,0,4.30,4.3307,39.6172,0.0123
1769472,27,0,5.67,3.9147,39.4834,0.0115
1835008,28,0,6.01,3.7081,39.3456,0.0128
1900544,29,0,6.51,3.3927,39.2008,0.0119
1966080,30,0,8.57,3.2910,39.0654,0.0132
2031616,31,0,8.48,3.4099,38.9302,0.0139
2097152,32,0,9.95,3.4133,38.7910,0.0136
2162688,33,0,11.10,3.3971,38.6632,0.0136
2228224,34,0,11.42,3.3094,38.5304,0.0140
2293760,35,0,12.34,3.3234,38.4060,0.0142
2359296,36,0,12.74,3.5208,38.2841,0.0135
2424832,37,0,14.25,3.6530,38.1569,0.0156
2490368,38,0,16.25,3.7903,38.0444,0.0157
2555904,39,0,17.46,4.1015,37.9273,0.0170
2621440,40,0,18.35,4.5030,37.8137,0.0179
2686976,41,0,19.95,4.5533,37.7014,0.0173
2752512,42,0,20.85,4.8077,37.5967,0.0181
2818048,43,0,21.35,5.4530,37.5029,0.0185
2883584,44,0,24.20,6.1301,37.4089,0.0184
2949120,45,0,27.74,7.3599,37.3128,0.0196
3014656,46,0,26.19,8.0913,37.2215,0.0191
3080192,47,0,29.33,9.0520,37.1456,0.0203
3145728,48,0,31.83,10.1479,37.0710,0.0182
3211264,49,0,35.57,11.6405,36.9974,0.0200
3276800,50,0,39.30,12.1074,36.9240,0.0197
3342336,51,0,43.24,13.9267,36.8451,0.0186
3407872,52,0,52.64,15.4834,36.7832,0.0186
3473408,53,0,51.00,16.5219,36.7205,0.0184
3538944,54,0,56.08,17.5846,36.6579,0.0176
3604480,55,0,63.44,17.9964,36.5951,0.0182
3670016,56,0,66.20,18.7055,36.5246,0.0189
3735552,57,0,69.68,18.5837,36.4640,0.0188
3801088,58,0,74.66,18.9347,36.4028,0.0201
3866624,59,0,78.76,18.5481,36.3356,0.0192
3932160,60,0,84.10,19.5039,36.2759,0.0218
3997696,61,0,91.99,20.6412,36.2098,0.0202
4063232,62,0,97.40,21.4982,36.1476,0.0226
4128768,63,0,97.89,21.9593,36.0901,0.0212
4194304,64,0,94.96,22.3672,36.0297,0.0224
4259840,65,0,110.35,23.1998,35.9723,0.0220
4325376,66,0,117.26,23.3366,35.9143,0.0243
4390912,67,0,118.40,25.2065,35.8581,0.0233
4456448,68,0,116.63,25.1756,35.8035,0.0254
4521984,69,0,125.46,26.0901,35.7559,0.0241
4587520,70,0,135.78,28.3347,35.7126,0.0286
4653056,71,0,146.03,28.3896,35.6570,0.0245
4718592,72,0,135.40,30.4506,35.6027,0.0250
4784128,73,0,143.32,29.7780,35.5555,0.0266
4849664,74,0,147.49,31.1430,35.5120,0.0252
4915200,75,0,160.79,30.7795,35.4612,0.0280
4980736,76,0,168.42,33.0277,35.4076,0.0271
5046272,77,0,172.45,36.1603,35.3594,0.0259
5111808,78,0,183.33,38.7923,35.3181,0.0232
5177344,79,0,191.88,39.3601,35.2752,0.0293
5242880,80,0,187.51,41.4389,35.2351,0.0250
5308416,81,0,212.81,42.7750,35.1986,0.0289
5373952,82,0,212.92,43.2485,35.1552,0.0252
5439488,83,0,237.27,48.9356,35.1135,0.0246
5505024,84,0,252.80,46.6602,35.0774,0.0229
5570560,85,0,261.73,50.0286,35.0457,0.0264
5636096,86,0,323.85,53.2602,35.0143,0.0256
5701632,87,0,364.08,59.4964,34.9877,0.0254
5767168,88,0,374.43,58.6341,34.9526,0.0269
5832704,89,0,392.58,63.6812,34.9216,0.0284
5898240,90,0,523.48,66.7870,34.8881,0.0289
5963776,91,1,122.16,72.8393,34.8730,0.0321
6029312,92,1,170.91,62.2019,34.8532,0.0270
6094848,93,1,246.98,58.6469,34.8245,0.0273
6160384,94,1,347.90,51.9210,34.7914,0.0275
6225920,95,1,447.72,46.9311,34.7610,0.0279
6291456,96,1,505.11,46.1529,34.7224,0.0248
6356992,97,1,622.55,45.5266,34.6814,0.0260
6422528,98,2,95.92,56.2933,34.6587,0.0313
6488064,99,2,122.30,48.6007,34.6454,0.0264
6553600,100,2,140.45,45.1775,34.6195,0.0246
6619136,101,2,206.08,43.3242,34.5836,0.0259
6684672,102,2,263.58,38.2454,34.5419,0.0249
6750208,103,2,347.51,36.1047,34.4933,0.0256
6815744,104,2,420.01,39.8847,34.4493,0.0256
6881280,105,2,625.70,36.2920,34.4153,0.0257
6946816,106,2,604.07,37.3576,34.3761,0.0262
7012352,107,2,743.14,39.0707,34.3466,0.0275
7077888,108,2,962.80,34.9246,34.3164,0.0291
7143424,109,2,832.01,39.2401,34.2875,0.0283
7208960,110,2,811.17,36.7725,34.2486,0.0287
7274496,111,2,911.55,48.7246,34.2112,0.0315
7340032,112,2,868.95,43.0215,34.1813,0.0306
7405568,113,2,1006.69,44.5662,34.1498,0.0301
7471104,114,2,1123.92,54.4476,34.1208,0.0331
7536640,115,2,1104.28,52.0335,34.0861,0.0328
7602176,116,2,954.68,46.1425,34.0492,0.0304
7667712,117,2,1128.75,49.2799,34.0238,0.0367
7733248,118,2,1268.26,57.4456,33.9977,0.0327
7798784,119,2,1249.75,55.2478,33.9622,0.0345
7864320,120,2,1104.04,55.1810,33.9305,0.0357
7929856,121,2,1356.80,63.2549,33.8953,0.0327
7995392,122,2,1473.32,63.3467,33.8781,0.0399
8060928,123,2,1522.93,66.3611,33.8554,0.0355
8126464,124,2,1570.86,69.0362,33.8497,0.0393
8192000,125,2,1463.61,69.8501,33.8247,0.0343
8257536,126,2,1310.74,60.0214,33.7996,0.0431
8323072,127,2,1417.49,68.8429,33.7794,0.0357
8388608,128,2,1394.49,65.6442,33.7505,0.0350
8454144,129,2,1511.00,70.7110,33.7293,0.0349
8519680,130,2,1524.28,69.3599,33.7050,0.0430
8585216,131,2,1358.87,75.0610,33.6823,0.0483
8650752,132,2,1555.35,73.2021,33.6609,0.0375
8716288,133,2,1505.27,65.2644,33.6437,0.0349
8781824,134,2,1643.20,79.3615,33.6244,0.0389
8847360,135,2,1457.39,80.1779,33.6033,0.0491
8912896,136,2,1680.90,80.4706,33.5912,0.0364
8978432,137,2,1621.45,72.4851,33.5843,0.0388
9043968,138,2,1717.90,75.3593,33.5635,0.0377
9109504,139,2,1836.63,94.3129,33.5464,0.0346
9175040,140,2,1469.33,74.8910,33.5345,0.0434
9240576,141,2,1375.33,87.7516,33.5212,0.0386
9306112,142,2,942.96,97.6502,33.5072,0.2599
9371648,143,2,1546.02,89.9108,33.4936,0.0339
9437184,144,2,1703.54,82.3919,33.4794,0.0322
9502720,145,2,1919.34,89.3836,33.4642,0.0344
9568256,146,2,2062.34,90.7830,33.4523,0.0345
9633792,147,2,2014.39,91.8570,33.4412,0.0374
9699328,148,2,1940.09,95.7640,33.4229,0.0403
9764864,149,2,1677.18,88.9727,33.4035,0.0359
9830400,150,2,1691.23,78.2183,33.3903,0.0387
9895936,151,2,1972.97,95.5582,33.3809,0.0329
9961472,152,2,1950.65,98.2936,33.3724,0.0382
10027008,153,2,1503.03,91.0780,33.3582,0.0361
10092544,154,2,1615.66,85.3343,33.3390,0.0351
10158080,155,2,1808.92,96.1597,33.3257,0.0338
10223616,156,2,2137.11,102.7441,33.3100,0.0337
10289152,157,2,2036.35,95.5401,33.2938,0.0332
10354688,158,2,2026.07,87.2851,33.2821,0.0381
10420224,159,2,2057.11,104.1606,33.2603,0.0367
10485760,160,2,2024.60,94.4617,33.2493,0.0351
10551296,161,2,1869.43,97.8553,33.2401,0.0352
10616832,162,2,2040.05,104.2105,33.2263,0.0353
10682368,163,2,2012.38,99.5409,33.2106,0.0345
10747904,164,2,1885.18,105.8001,33.1947,0.0407
10813440,165,2,2005.48,101.8460,33.1796,0.0343
10878976,166,2,2086.25,104.8909,33.1700,0.0346
10944512,167,2,2027.80,105.1628,33.1612,0.0358
11010048,168,2,2022.68,107.8135,33.1502,0.0357
11075584,169,2,2145.40,111.0168,33.1397,0.0334
11141120,170,2,1995.75,104.1008,33.1202,0.0334
11206656,171,2,1785.56,94.9557,33.0989,0.0373
11272192,172,2,1928.28,111.8510,33.0890,0.0321
11337728,173,2,1627.22,91.8982,33.0764,0.0338
11403264,174,2,1533.84,98.2932,33.0612,0.0315
11468800,175,2,1298.29,107.4723,33.0448,0.0325
11534336,176,2,1831.50,107.8110,33.0405,0.0306
11599872,177,2,1913.27,109.4161,33.0288,0.0295
11665408,178,2,1953.49,100.4987,33.0181,0.0339
11730944,179,2,2003.45,118.4054,33.0112,0.0342
11796480,180,2,2166.30,109.8778,33.0040,0.0323
11862016,181,2,1959.21,111.0192,32.9892,0.0312
11927552,182,2,1747.29,96.7124,32.9736,0.0311
11993088,183,2,2070.14,113.2792,32.9641,0.0312
12058624,184,2,2063.17,110.7819,32.9559,0.0335
12124160,185,2,2057.37,121.2215,32.9539,0.0334
12189696,186,2,1908.69,119.1171,32.9524,0.0307
12255232,187,2,2124.77,119.0723,32.9450,0.0307
12320768,188,2,1907.18,120.0516,32.9339,0.0327
12386304,189,2,2008.99,113.6921,32.9264,0.0320
12451840,190,2,2017.96,123.1446,32.9108,0.0321
12517376,191,2,1609.90,102.7520,32.9026,0.0293
12582912,192,2,1752.86,112.5404,32.8934,0.0371
12648448,193,2,1897.11,103.4329,32.8804,0.0293
12713984,194,2,2055.46,112.1265,32.8736,0.0292
12779520,195,2,2168.52,132.2747,32.8726,0.0356
12845056,196,2,2137.83,108.6565,32.8722,0.0371
12910592,197,2,2240.64,119.9001,32.8622,0.0340
12976128,198,2,2253.81,113.9780,32.8500,0.0294
13041664,199,2,2236.24,117.5405,32.8430,0.0348
13107200,200,2,2361.76,127.6095,32.8377,0.0316
13172736,201,2,2341.39,127.4074,32.8314,0.0346
13238272,202,2,2076.92,101.3041,32.8372,0.0332
13303808,203,2,2139.78,116.6327,32.8357,0.0328
13369344,204,2,2375.66,130.2409,32.8297,0.0342
13434880,205,2,2432.40,126.8096,32.8272,0.0322
13500416,206,2,2467.09,135.0541,32.8151,0.0346
13565952,207,2,2242.67,135.0413,32.8079,0.0380
13631488,208,2,2151.20,129.3215,32.7996,0.0322
13697024,209,2,2344.07,131.2909,32.7923,0.0318
13762560,210,2,2373.69,118.5976,32.7766,0.0329
13828096,211,2,2481.79,132.5098,32.7599,0.0315
13893632,212,2,2347.61,127.2308,32.7582,0.0339
13959168,213,2,2399.99,131.2983,32.7637,0.0339
14024704,214,2,2336.58,128.1181,32.7619,0.0307
14090240,215,2,2240.22,120.4679,32.7582,0.0289
14155776,216,2,2348.67,126.2606,32.7560,0.0308
14221312,217,2,2240.70,129.1230,32.7500,0.0319
14286848,218,2,2067.03,117.0808,32.7408,0.0325
14352384,219,2,2034.00,114.2958,32.7292,0.0323
14417920,220,2,2208.72,130.0988,32.7179,0.0302
14483456,221,2,2349.82,136.1943,32.7103,0.0311
14548992,222,2,2162.79,136.1130,32.7103,0.0299
14614528,223,2,2172.96,124.9121,32.7192,0.0317
14680064,224,2,2231.57,131.0308,32.7126,0.0316
14745600,225,2,2466.60,130.0938,32.7107,0.0305
14811136,226,2,2464.45,124.4062,32.7038,0.0341
14876672,227,2,2570.71,137.1350,32.6963,0.0323
14942208,228,2,2413.61,135.9786,32.6954,0.0336
15007744,229,2,2325.27,140.2831,32.6868,0.0328
15073280,230,2,2338.06,127.8637,32.6843,0.0326
15138816,231,2,2206.63,128.3835,32.6775,0.0326
15204352,232,2,2284.76,132.9188,32.6699,0.0313
15269888,233,2,2468.78,137.9771,32.6704,0.0282
15335424,234,2,2683.65,135.5627,32.6656,0.0328
15400960,235,2,2634.01,145.8171,32.6613,0.0350
15466496,236,2,2544.28,146.9837,32.6575,0.0304
15532032,237,2,2606.04,147.7309,32.6549,0.0356
15597568,238,2,2618.70,155.0545,32.6564,0.0344
15663104,239,2,2403.83,134.1561,32.6665,0.0346
15728640,240,2,2386.16,146.6737,32.6625,0.0337
15794176,241,2,2415.74,142.4067,32.6565,0.0331
15859712,242,2,2499.35,147.4829,32.6513,0.0331
15925248,243,2,2697.01,160.2880,32.6428,0.0293
15990784,244,2,2452.65,131.7416,32.6373,0.0301
16056320,245,2,2378.89,146.7491,32.6339,0.0306
16121856,246,2,2261.34,141.2834,32.6169,0.0305
16187392,247,2,2421.88,145.9743,32.6011,0.0293
16252928,248,2,2266.01,129.3462,32.5979,0.0289
16318464,249,2,2333.69,153.6692,32.5959,0.0296
16384000,250,2,2375.98,142.8567,32.5868,0.0303
16449536,251,2,2431.23,141.1183,32.5835,0.0289
16515072,252,2,2450.17,136.8178,32.5786,0.0280
16580608,253,2,2653.21,149.6803,32.5810,0.0341
16646144,254,2,2844.01,174.3361,32.5787,0.0352
16711680,255,2,2536.61,138.8823,32.5761,0.0303
16777216,256,2,2528.76,143.5602,32.5728,0.0325
16842752,257,2,2275.17,144.0277,32.5699,0.0301
16908288,258,2,1872.12,137.6531,32.5660,0.0281
16973824,259,2,2235.92,142.9988,32.5661,0.0273
17039360,260,2,2054.06,135.2073,32.5604,0.0288
17104896,261,2,2389.64,156.8604,32.5622,0.0322
17170432,262,2,2347.26,141.3688,32.5623,0.0294
17235968,263,2,2449.18,144.8815,32.5544,0.0295
17301504,264,2,2414.06,151.2459,32.5578,0.0272
17367040,265,2,2020.15,153.2484,32.5490,0.0268
17432576,266,2,2403.05,162.9505,32.5486,0.0264
17498112,267,2,2158.68,140.2841,32.5432,0.0292
17563648,268,2,2499.07,167.8742,32.5291,0.0326
17629184,269,2,2489.65,152.6830,32.5283,0.0318
17694720,270,2,2362.40,162.4276,32.5236,0.0295
17760256,271,2,2131.52,132.6768,32.5200,0.0296
17825792,272,2,2194.19,151.6799,32.5147,0.0256
17891328,273,2,2181.36,143.8582,32.5104,0.0264
17956864,274,2,2302.80,172.6559,32.5106,0.0290
18022400,275,2,2596.27,148.6029,32.5121,0.0295
18087936,276,2,2542.50,159.0694,32.5033,0.0288
18153472,277,2,2632.45,153.0550,32.5018,0.0318
18219008,278,2,2746.09,154.4976,32.5069,0.0349
18284544,279,2,2668.66,158.8395,32.5035,0.0372
18350080,280,2,2349.09,145.2354,32.4946,0.0299
18415616,281,2,2141.12,130.1329,32.4816,0.0286
18481152,282,2,2312.53,146.9272,32.4797,0.0311
18546688,283,2,2322.16,149.7584,32.4747,0.0280
18612224,284,2,2304.32,149.7704,32.4655,0.0291
18677760,285,2,2436.16,147.6992,32.4633,0.0270
18743296,286,2,2527.38,152.0820,32.4587,0.0318
18808832,287,2,2350.55,167.9836,32.4601,0.0280
18874368,288,2,2370.60,164.3483,32.4642,0.0306
18939904,289,2,2140.27,147.1681,32.4679,0.0309
19005440,290,2,2368.06,152.7095,32.4693,0.0265
19070976,291,2,2466.57,156.6592,32.4665,0.0282
19136512,292,2,2608.27,167.7360,32.4519,0.0328
19202048,293,2,2705.65,181.5079,32.4516,0.0298
19267584,294,2,2846.04,180.6496,32.4559,0.0283
19333120,295,2,2596.60,171.2713,32.4586,0.0281
19398656,296,2,2447.62,161.9418,32.4524,0.0276
19464192,297,2,2572.63,165.2474,32.4437,0.0311
19529728,298,2,2599.77,158.8269,32.4435,0.0282
19595264,299,2,2584.31,182.2395,32.4429,0.0279
19660800,300,2,2558.79,161.7734,32.4376,0.0274
19726336,301,2,2646.11,165.2943,32.4236,0.0294
19791872,302,2,2588.83,174.4302,32.4192,0.0321
19857408,303,2,2755.51,173.5908,32.4250,0.0359
19922944,304,2,2726.44,174.2447,32.4251,0.0292
19988480,305,2,2761.38,179.2514,32.4210,0.0299
20054016,306,2,2592.11,169.4709,32.4197,0.0275
20119552,307,2,2660.42,173.9593,32.4201,0.0278
20185088,308,2,2613.56,171.6538,32.4120,0.0299
20250624,309,2,2518.43,182.8709,32.4050,0.0318
20316160,310,2,2459.04,174.5040,32.3992,0.0261
20381696,311,2,2310.95,168.4121,32.3929,0.0250
20447232,312,2,2549.77,174.9428,32.3911,0.0272
20512768,313,2,2748.43,180.7029,32.3883,0.0278
20578304,314,2,2755.10,173.8959,32.3806,0.0277
20643840,315,2,2558.53,163.0961,32.3814,0.0284
20709376,316,2,2517.25,175.4917,32.3836,0.0297
20774912,317,2,2418.99,154.7780,32.3835,0.0311
20840448,318,2,2486.62,188.8288,32.3876,0.0263
20905984,319,2,2680.05,179.6191,32.3861,0.0282
20971520,320,2,2663.58,182.0647,32.3867,0.0278
21037056,321,2,2633.35,160.8459,32.3757,0.0279
21102592,322,2,2361.00,167.8754,32.3660,0.0283
21168128,323,2,2428.35,164.4803,32.3618,0.0265
21233664,324,2,2371.45,169.7835,32.3614,0.0267
21299200,325,2,2503.38,155.8998,32.3639,0.0255
21364736,326,2,2454.96,167.9813,32.3626,0.0300
21430272,327,2,2718.57,191.6136,32.3633,0.0262
21495808,328,2,2450.21,164.3390,32.3599,0.0265
21561344,329,2,2564.71,183.3699,32.3541,0.0298
21626880,330,2,2707.76,177.5037,32.3519,0.0282
21692416,331,2,2871.96,196.8830,32.3554,0.0309
21757952,332,2,2900.71,179.2703,32.3536,0.0330
21823488,333,2,2631.31,179.4321,32.3628,0.0274
21889024,334,2,2779.35,185.8002,32.3468,0.0288
21954560,335,2,2924.91,189.6931,32.3440,0.0308
22020096,336,2,2947.43,200.1443,32.3427,0.0292
22085632,337,2,3065.99,195.0917,32.3465,0.0277
22151168,338,2,2698.79,187.8232,32.3542,0.0288
22216704,339,2,2627.05,173.1348,32.3632,0.0280
22282240,340,2,2865.84,180.7762,32.3714,0.0295
22347776,341,2,2897.96,186.2549,32.3687,0.0307
22413312,342,2,2887.03,180.2784,32.3684,0.0288
22478848,343,2,2788.51,172.0752,32.3698,0.0274
22544384,344,2,2657.14,173.2622,32.3681,0.0278
22609920,345,2,2659.46,189.7496,32.3696,0.0306
22675456,346,2,2868.78,191.2479,32.3752,0.0264
22740992,347,2,2915.73,182.7117,32.3729,0.0300
22806528,348,2,2732.52,182.4373,32.3720,0.0253
22872064,349,2,2690.13,195.4264,32.3702,0.0313
22937600,350,2,2722.92,177.7992,32.3708,0.0305
23003136,351,2,2878.36,188.4869,32.3714,0.0295
23068672,352,2,2775.11,176.0988,32.3667,0.0292
23134208,353,2,2819.31,187.0310,32.3642,0.0320
23199744,354,2,2803.21,193.6719,32.3697,0.0282
23265280,355,2,2257.26,170.1102,32.3696,0.0266
23330816,356,2,2147.09,157.6991,32.3675,0.0272
23396352,357,2,2390.98,181.0577,32.3703,0.0295
23461888,358,2,2360.90,187.5091,32.3700,0.0261
23527424,359,2,2705.34,203.5048,32.3731,0.0260
23592960,360,2,2878.05,199.7968,32.3717,0.0299
23658496,361,2,2743.98,182.7034,32.3700,0.0275
23724032,362,2,2864.75,204.1073,32.3760,0.0267
23789568,363,2,2978.86,202.6314,32.3781,0.0325
23855104,364,2,2817.35,190.1597,32.3862,0.0297
23920640,365,2,2653.30,181.9418,32.3891,0.0267
23986176,366,2,2639.12,201.1683,32.3987,0.0270
24051712,367,2,2707.07,206.6167,32.4015,0.0299
24117248,368,2,2912.44,194.1716,32.3964,0.0283
24182784,369,2,2945.20,201.4826,32.3940,0.0303
24248320,370,2,2897.03,191.1465,32.3947,0.0266
24313856,371,2,2970.41,195.1702,32.4015,0.0279
24379392,372,2,2585.78,188.8500,32.4117,0.0264
24444928,373,2,2705.17,204.1912,32.4193,0.0294
24510464,374,2,2860.17,206.9811,32.4202,0.0297
24576000,375,2,2983.30,220.9243,32.4201,0.0275
24641536,376,2,2917.28,186.0956,32.4169,0.0274
24707072,377,2,2941.66,210.7962,32.4123,0.0282
24772608,378,2,2953.17,200.9819,32.4107,0.0285
